O*NET-SOC Code,Occupation (O*NET-SOC Title),Task ID,Task,Task Type,Date,Category,Frequency,Importance,Relevance,Occupation Mean Annual Wage,Occupation Employment,Skill (O*NET Work Activity),Skill ID (O*NET Generalized Work Activity ID)
15-1299.08,Computer Systems Engineers/Architects,14681,"Define and analyze objectives, scope, issues, or organizational impact of information systems.",Core,08/2024,3.0,3.0,3.62,95.45,,,['Thinking Creatively'],['4.A.2.b.2']
15-1299.08,Computer Systems Engineers/Architects,14667,"Provide advice on project costs, design concepts, or design changes.",Core,08/2024,3.0,3.0,3.45,100.0,,,['Providing Consultation and Advice to Others'],['4.A.4.b.6']
15-1299.08,Computer Systems Engineers/Architects,14671,"Evaluate current or emerging technologies to consider factors such as cost, portability, compatibility, or usability.",Core,08/2024,3.0,3.0,3.45,95.45,,,"['Judging the Qualities of Objects, Services, or People']",['4.A.2.a.1']
15-1299.08,Computer Systems Engineers/Architects,14687,"Communicate project information through presentations, technical reports, or white papers.",Core,08/2024,3.0,3.0,3.37,86.36,,,"['Documenting/Recording Information', 'Communicating with Supervisors, Peers, or Subordinates']","['4.A.3.b.6', '4.A.4.a.2']"
15-1299.09,Information Technology Project Managers,16157,Monitor or track project milestones and deliverables.,Core,08/2019,5.0,5.0,4.29,100.0,,,"['Monitoring Processes, Materials, or Surroundings']",['4.A.1.a.2']
15-1299.09,Information Technology Project Managers,16152,"Submit project deliverables, ensuring adherence to quality standards.",Core,08/2019,3.0,3.0,4.25,95.24,,,"['Monitoring Processes, Materials, or Surroundings', 'Judging the Qualities of Objects, Services, or People']","['4.A.1.a.2', '4.A.2.a.1']"
15-1299.09,Information Technology Project Managers,16159,"Initiate, review, or approve modifications to project plans.",Core,08/2019,3.0,3.0,4.2,100.0,,,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6']
15-1299.09,Information Technology Project Managers,16170,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Core,08/2019,4.0,4.0,4.05,100.0,,,"['Organizing, Planning, and Prioritizing Work']",['4.A.2.b.6']
15-1299.09,Information Technology Project Managers,16151,Perform risk assessments to develop response strategies.,Core,08/2019,4.0,4.0,4.05,100.0,,,['Analyzing Data or Information'],['4.A.2.a.4']
15-1299.09,Information Technology Project Managers,16168,"Prepare project status reports by collecting, analyzing, and summarizing information and trends.",Core,08/2019,3.0,3.0,4.0,100.0,,,"['Analyzing Data or Information', 'Documenting/Recording Information']","['4.A.2.a.4', '4.A.3.b.6']"
15-1299.09,Information Technology Project Managers,16171,Develop and manage work breakdown structure (WBS) of information technology projects.,Core,08/2019,3.0,3.0,3.9,100.0,,,"['Organizing, Planning, and Prioritizing Work', 'Guiding, Directing, and Motivating Subordinates']","['4.A.2.b.6', '4.A.4.b.4']"
15-1299.09,Information Technology Project Managers,16167,"Assign duties, responsibilities, and spans of authority to project personnel.",Core,08/2019,4.0,4.0,3.79,100.0,,,"['Guiding, Directing, and Motivating Subordinates']",['4.A.4.b.4']
